Country Name,1990,2000,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4
Albania,7888,7693,7849.17,7863.405,7877.64,7891.875,7891.8,7889.025,7889,7889,7889
Algeria,16670,15790,19332,19408,19484,19560,19560,19430,19300,19390,19490
American Samoa,180.7,177.3,173.7,173.4,173.1,172.8,172.5,172.2,171.9,171.6,171.3
Andorra,160,160,160,160,160,160,160,160,160,160,160
Angola,792627.8,777086.1,710478.76,704928.14,699377.52,693826.9,688276.2,682725.7,677175.1,671624.4,666073.8
Antigua and Barbuda,101.1,94.5,86.48,85.82,85.16,84.5,83.8,83.2,82.5,81.8,81.2
Argentina,352040,333780,297672,295438,293204,290970,290100,288990,287910,286810,285730
Armenia,..,3326.4,3301.44,3299.36,3297.28,3295.2,3293.1,3291,3288.9,3286.8,3284.7
Aruba,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
Australia,1338822,1318141,1309654.6,1316751.4,1323848.2,1330945,1340372,1340174,1340051,1340051,1340051
Austria,37756.7,38381.4,38703.96,38739.94,38775.92,38811.9,38847.9,38883.8,38919.7,38955.6,38991.5
Azerbaijan,..,9872.2,10506.515,10597.3,10688.085,10778.87,10874.752,10971.848,11087.15,11202.4,11317.7
"Bahamas, The",5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6
Bahrain,2.2,3.7,5.52,5.68,5.84,6,6.2,6.4,6.6,6.8,7
Bangladesh,19203.3,19203.281,18863.652,18853.768,18843.884,18834,18834,18834,18834,18834,18834
Barbados,63,63,63,63,63,63,63,63,63,63,63
Belarus,..,82730,86314,86321,86328,86335,87096,87241,87386,87531,87676
Belgium,7632,6673,6896.42,6895.28,6894.14,6893,6893,6893,6893,6893,6893
Belize,16000.3,14593,13679.66,13562.54,13445.42,13328.3,13216.8,13105.2,12993.7,12882.1,12770.5
Benin,48351.5,41351.5,35351.5,34851.5,34351.5,33851.5,33351.5,32851.5,32351.5,31851.5,31351.5
Bermuda,10,10,10,10,10,10,10,10,10,10,10
Bhutan,25067.2,26060,27092.46,27112.24,27132.02,27151.8,27171.6,27191.4,27211.2,27231,27250.8
Bolivia,578047.2,551013.9,526624.94,524507.36,522389.78,520272.2,517506.8,514922.2,512532.4,510337.6,508337.6
Bosnia and Herzegovina,..,21116.5,21257.96,21373.64,21489.32,21605,21765.1,21879.1,21879.1,21879.1,21879.1
Botswana,188037,176207,162011,160828,159645,158462,157279,156096,154913,153730,152547
Brazil,5888980,5510886,5085023.4,5069631.6,5054239.8,5038848,5020821,5000916,4990514,4977985,4966196
British Virgin Islands,37.1,36.7,36.32,36.28,36.24,36.2,36.2,36.2,36.2,36.2,36.2
Brunei Darussalam,4130,3970,3800,3800,3800,3800,3800,3800,3800,3800,3800
Bulgaria,33270,33750,37754,37946,38138,38330,38410,38540,38670,38800,38930
Burkina Faso,77166,72165,66164.6,65664.4,65164.2,64664,64164,63664,63164,62664,62164
Burundi,2764.8,1939.4,2282.2,2453.6,2625,2796.4,2796.4,2796.4,2796.4,2796.4,2796.4
Cabo Verde,153.8,397.2,433.2,436.2,439.2,442.2,445.2,448.2,451.2,454.2,457.2
Cambodia,110047.9,107810,98922.66,95437.84,91953.02,88468.2,86911.3,85354.4,83797.5,82240.6,80683.7
Cameroon,225000,215974.9,207884.8,207324.8,206764.8,206204.8,205644.8,205084.8,204524.8,203964.8,203404.8
Canada,3482729.3,3478019.7,3472396.1,3471983.1,3471570.1,3471157.1,3470760.4,3470390.5,3470020.7,3469650.8,3469281
Cayman Islands,131.3,129.3,127.2,127.2,127.2,127.2,127.2,127.2,128.1,127.2,127.2
Central African Republic,232030,229030,225430,225130,224830,224530,224230,223930,223630,223330,223030
Chad,67300,63530,52740,51460,50180,48900,47690,46510,45350,44220,43130
Channel Islands,..,..,..,..,..,..,..,..,..,..,..
Chile,152460.5,158170.6,170735.88,172477.52,174219.16,175960.8,177190.1,178419.4,179648.7,180878,182107
China,1571405.9,1770005.5,2044839.28,2064207.02,2083574.76,2102942.5,2124598.67,2143394.7,2162190.4,2180986.1,2199781.8
Colombia,649581.4,627355,605385.38,604039.12,602692.86,601346.6,599594.9,597397.7,595404.8,593412,591419.1
Comoros,460.6,416.8,364.24,359.86,355.48,351.1,346.7,342.3,338,333.6,329.2
"Congo, Dem. Rep.",1506290,1438990,1349662.48,1338648.72,1327634.96,1316621.2,1305607.4,1294593.7,1283579.9,1272566.1,1261552.4
"Congo, Rep.",223150,221950,220510,220390,220270,220150,220030,219910,219760,219610,219460
Costa Rica,29074,28572.2,29039.32,29202.98,29366.64,29530.3,29694,29857.7,30021.3,30185,30348.7
